순위,도서명,저자,출판사,정가,판매가
182,한 걸음 앞선 개발자가 지금 꼭 알아야 할 클로드 코드,조훈 외,길벗,26000,23400
183,2026 해커스 정보처리기사 필기 한권완성 이론+최신기출+핵심노트,한미현 외,해커스자격증,35000,31500
184,CODE,찰스 펫졸드 외,인사이트,35000,31500
185,가상 면접 사례로 배우는 대규모 시스템 설계 기초,알렉스 쉬 외,인사이트,24000,21600
186,AI 자율학습 AI 에이전트 개발 입문,박경민,길벗,32000,28800
187,회사에서 바로 통하는 오토캐드 AutoCAD 2027,심미현,한빛미디어,29000,26100
188,2027 이기적 ITQ 파워포인트 ver.2021,영진정보연구소,영진닷컴,17000,15300
189,처음이지만 프로처럼 쓰는 n8n,곽지호(Dante),디지털북스,33000,29700
190,에이전틱 AI와 바이브 코딩 AI 개발의 정석 with 언리얼,이영호 외,성안당,42000,37800
191,클로드 코워크,신승희,생능북스,24000,21600
192,이게 되네? 캔바 AI 미친 활용법 47제,이지쌤,골든래빗(주),24000,21600
193,승인율 99.9% 움직이는 이모티콘 만들기 with 프로크리에이트,씨엠제이(최민정),한빛미디어,18000,16200
194,이게 되네? 오픈클로 미친 활용법 50제,한준구,골든래빗(주),24000,21600
195,퇴근이 빨라지는 제미나이 & 노트북LM 업무 자동화 정석 엑셀 X AI,권현욱,디지털북스,22000,19800
196,이나은 주임의 혼나지 않는 엑셀,민지희 외,티더블유아이지,19800,17820
197,2026 박문각 SQL 개발자 SQLD 기출원스톱 400제+무료특강,윤소정,박문각,19000,17100
198,맛있는 디자인 포토샵&일러스트레이터 CC 2026,빨간고래 외,한빛미디어,26000,23400
199,"광고, UX/UI, 브랜딩에 바로 쓰는 디자인 심리 108",321web(미쓰이 마사유키) 외,시프트,18000,16200
200,누구나 아는 나만 모르는 제미나이,누나IT(이성원),한빛미디어,19000,17100
201,요즘 당근 AI 개발,당근 팀,골든래빗(주),22000,19800
202,2026 시나공 컴퓨터활용능력 1급 실기 총정리,길벗알앤디,길벗,26000,23400
203,2026 시나공 워드프로세서 실기 기본서 (ver.한글2022),길벗알앤디,길벗,19000,17100
204,2026 이기적 ADsP 데이터분석 준전문가 기본서,임경덕,영진닷컴,25000,22500
205,자바의 정석,남궁성,도우출판,40000,36000
206,된다! 네이버 블로그 상위 노출,황윤정,이지스퍼블리싱,18000,16200
207,가상 면접 사례로 배우는 대규모 시스템 설계 기초 2,알렉스 쉬 외,인사이트,36000,32400
208,면접을 위한 CS 전공지식 노트,주홍철,길벗,24000,21600
209,라프 코스터의 재미이론,라프 코스터 외,길벗,22000,19800
210,이기적 정보기기운용기능사 필기 기본서,임호진 외,영진닷컴,23000,20700
211,Do it! AI 시대에 살아남는 프런트엔드 면접의 기술,정희,이지스퍼블리싱,36000,32400
212,2026 세무사 남정선의 전산세무 2급 이론+실무+최신기출+100% 무료강의,남정선 외,직업상점,33000,29700
213,모던 데이터 아키텍처 설계와 구현,피트하인 스트렝홀트 외,책만,33000,29700
214,수업에 바로 쓰는 일잘러 선생님의 캔바 Canva 활용법,황은지,제이펍,22000,19800
215,AI 에이전트 개발 완벽 입문,김현지 외,위키북스,42000,37800
